time_s,T_fault_Nm,T_fault_over_T_nom_percent,omega_m_rad_per_s,abs_i_s_peak_A
3.160632126425285630e-03,-4.170064652344564706e+02,-3.188889252632603188e+02,1.231504320207198901e+02,2.227152635213244594e+02
3.200640128025605564e-03,-4.210666593925977850e+02,-3.219937954736583947e+02,1.231504320207198901e+02,2.256431055520400264e+02
3.240648129625925498e-03,-4.250313722873135021e+02,-3.250256502274268655e+02,1.231504320207198901e+02,2.285514444945278285e+02
3.280656131226245865e-03,-4.289001924429940686e+02,-3.279841748651400621e+02,1.231504320207198901e+02,2.314401500029084389e+02
3.320664132826565799e-03,-4.326727316007002173e+02,-3.308690724813870361e+02,1.231504320207198901e+02,2.343090944713247836e+02
3.360672134426885733e-03,-4.363486246808528790e+02,-3.336800638962407106e+02,1.231504320207198901e+02,2.371581529378858875e+02
3.400680136027206101e-03,-4.399275297410601411e+02,-3.364168876230073124e+02,1.231504320207198901e+02,2.399872029969126288e+02
3.440688137627526035e-03,-4.434091279291122873e+02,-3.390792998322814924e+02,1.231504320207198901e+02,2.427961247186624689e+02
3.480696139227845969e-03,-4.467931234311857338e+02,-3.416670743123370357e+02,1.231504320207198901e+02,2.455848005758037402e+02
3.520704140828166337e-03,-4.500792434152866690e+02,-3.441800024258781718e+02,1.231504320207198901e+02,2.483531153759871586e+02
3.560712142428486271e-03,-4.532672379699772023e+02,-3.466178930631823505e+02,1.231504320207198901e+02,2.511009561999344726e+02
3.600720144028806205e-03,-4.563568800384177848e+02,-3.489805725916621668e+02,1.231504320207198901e+02,2.538282123445231093e+02
3.640728145629126139e-03,-4.593479653477666034e+02,-3.512678848018761641e+02,1.231504320207198901e+02,2.565347752704026334e+02
3.680736147229446507e-03,-4.622403123339764761e+02,-3.534796908500205745e+02,1.231504320207198901e+02,2.592205385537250208e+02
3.720744148829766441e-03,-4.650337620620288135e+02,-3.556158691969311576e+02,1.231504320207198901e+02,2.618853978416145196e+02
3.760752150430086375e-03,-4.677281781416451167e+02,-3.576763155436270267e+02,1.231504320207198901e+02,2.645292508110397875e+02
3.800760152030406742e-03,-4.703234466385205224e+02,-3.596609427634301710e+02,1.231504320207198901e+02,2.671519971307848209e+02
3.840768153630726676e-03,-4.728194759811202630e+02,-3.615696808306917092e+02,1.231504320207198901e+02,2.697535384262453135e+02
3.880776155231046610e-03,-4.752161968630830415e+02,-3.634024767461589249e+02,1.231504320207198901e+02,2.723337782468037176e+02
