time_s,T_fault_Nm,T_fault_over_T_nom_percent,T_envelope_Nm,T_envelope_over_T_nom_percent
1.477495499099820142e-01,4.096951973034407279e-02,3.132979271200483223e-02,5.075811296122966637e-02,3.881522575794411900e-02
1.477895579115823255e-01,4.130388816165134896e-02,3.158548752393439824e-02,5.063056924691953370e-02,3.871769183132364039e-02
1.478295659131826645e-01,4.162731636469870627e-02,3.183281623624012457e-02,5.050334602125845090e-02,3.862040298550975526e-02
1.478695739147829757e-01,4.193978672576406663e-02,3.207176537953633499e-02,5.037644247893091620e-02,3.852335860466981482e-02
1.479095819163832870e-01,4.224128417671072638e-02,3.230232343107142939e-02,5.024985781664439988e-02,3.842655807451816896e-02
1.479495899179836260e-01,4.253179618559098374e-02,3.252448080754234000e-02,5.012359123312512543e-02,3.833000078231291186e-02
1.479895979195839373e-01,4.281131274672447806e-02,3.273822985750737824e-02,4.999764192911301114e-02,3.823368611685203783e-02
1.480296059211842485e-01,4.307982637026389061e-02,3.294356485340698554e-02,4.987200910735577891e-02,3.813761346846892414e-02
1.480696139227845876e-01,4.333733207124577935e-02,3.314048198319082678e-02,4.974669197260485343e-02,3.804178222902920847e-02
1.481096219243848988e-01,4.358382735813547126e-02,3.332897934155797104e-02,4.962168973160981794e-02,3.794619179192652847e-02
1.481496299259852101e-01,4.381931222087238897e-02,3.350905692081498216e-02,4.949700159311364034e-02,3.785084155207888573e-02
1.481896379275855491e-01,4.404378911841504846e-02,3.368071660135149581e-02,4.937262676784716364e-02,3.775573090592443393e-02
1.482296459291858604e-01,4.425726296579871044e-02,3.384396214174309470e-02,4.924856446852501207e-02,3.766085925141833546e-02
1.482696539307861716e-01,4.445974112070464473e-02,3.399879916848064926e-02,4.912481390983983870e-02,3.756622598802838997e-02
1.483096619323865106e-01,4.465123336955068717e-02,3.414523516533366637e-02,4.900137430845730169e-02,3.747183051673114856e-02
1.483496699339868219e-01,4.483175191310558722e-02,3.428327946234940860e-02,4.887824488301204667e-02,3.737767224000888844e-02
1.483896779355871332e-01,4.500131135163579904e-02,3.441294322449453547e-02,4.875542485410148258e-02,3.728375056184480424e-02
1.484296859371874444e-01,4.515992866958706137e-02,3.453423943994093914e-02,4.863291344428184032e-02,3.719006488772004515e-02
1.484696939387877834e-01,4.530762321981002261e-02,3.464718290800290063e-02,4.851070987806280210e-02,3.709661462460957931e-02
1.485097019403880947e-01,4.544441670733151417e-02,3.475179022672688495e-02,4.838881338190267889e-02,3.700339918097849540e-02
1.485497099419884059e-01,4.557033317268315703e-02,3.484807978014269753e-02,4.826722318420360175e-02,3.691041796677836662e-02
1.485897179435887450e-01,4.568539897478640643e-02,3.493607172517555759e-02,4.814593851530623442e-02,3.681767039344314291e-02
1.486297259451890562e-01,4.578964277340620559e-02,3.501578797822823413e-02,4.802495860748570711e-02,3.672515587388612557e-02
1.486697339467893675e-01,4.588309551117603774e-02,3.508725220143536078e-02,4.790428269494601682e-02,3.663287382249560964e-02
1.487097419483897065e-01,4.596579039520014287e-02,3.515048978859456469e-02,4.778391001381519093e-02,3.654082365513121322e-02
1.487497499499900178e-01,4.603776287824250246e-02,3.520552785078145258e-02,4.766383980214128346e-02,3.644900478912083130e-02
1.487897579515903290e-01,4.609905063950417436e-02,3.525239520164982765e-02,4.754407129988636599e-02,3.635741664325602140e-02
1.488297659531906680e-01,4.614969356500044778e-02,3.529112234242596374e-02,4.742460374892265573e-02,3.626605863778906147e-02
1.488697739547909793e-01,4.618973372753894246e-02,3.532174144659761678e-02,4.730543639302729059e-02,3.617493019442889757e-02
1.489097819563912906e-01,4.621921536631046906e-02,3.534428634430697436e-02,4.718656847787761760e-02,3.608403073633763974e-02
1.489497899579916296e-01,4.623818486609444084e-02,3.535879250644883426e-02,4.706799925104644677e-02,3.599335968812684278e-02
1.489897979595919408e-01,4.624669073608846104e-02,3.536529702848135309e-02,4.694972796199725629e-02,3.590291647585388407e-02
1.490298059611922521e-01,4.624478358836828229e-02,3.536383861395422240e-02,4.683175386207953650e-02,3.581270052701839013e-02
1.490698139627925911e-01,4.623251611598291205e-02,3.535445755775772081e-02,4.671407620452362047e-02,3.572271127055828138e-02
1.491098219643929024e-01,4.620994307069460627e-02,3.533719572910032358e-02,4.659669424443683983e-02,3.563294813684685786e-02
1.491498299659932136e-01,4.617712124036773419e-02,3.531209655421768678e-02,4.647960723879798056e-02,3.554341055768852481e-02
1.491898379675935526e-01,4.613410942601510467e-02,3.527920499881980615e-02,4.636281444645267563e-02,3.545409796631527471e-02
1.492298459691938639e-01,4.608096841850834596e-02,3.523856755028118709e-02,4.624631512810944978e-02,3.536500979738367578e-02
1.492698539707941752e-01,4.601776097495805656e-02,3.519023219957850834e-02,4.613010854633393248e-02,3.527614548697046576e-02
1.493098619723944864e-01,4.594455179477267837e-02,3.513424842298263490e-02,4.601419396554509711e-02,3.518750447256962371e-02
1.493498699739948254e-01,4.586140749540132400e-02,3.507066716350890068e-02,4.589857065201018854e-02,3.509908619308852590e-02
1.493898779755951367e-01,4.576839658776830216e-02,3.499954081213164231e-02,4.578323787384014354e-02,3.501089008884444853e-02
